"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output cg.S.32_5_compute-431-9_MPI_ETH.csv",,,,"Date:","25 Feb 2016 20:29:19 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"net/eth0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","1m","5m","15m"
25-02 20:29:19,0.000,0.000,12.376,1002086400.0,368656384.0,8430497792.0,40939753472.0,87.812,289.800,11473.546,494772.809,2810.610,11966.458,16.290,1.667,81.854,0.159,0.000,0.029,28.923,1.895,69.161,0.020,0.0,0.000,24.384,1.913,73.681,0.019,0.0,0.003,21.863,2.115,76.005,0.014,0.0,0.003,19.403,2.018,78.566,0.011,0.0,0.002,17.928,2.011,80.049,0.010,0.0,0.002,19.703,1.842,78.259,0.187,0.000,0.008,19.963,1.951,78.047,0.037,0.0,0.002,18.841,2.031,79.102,0.024,0.0,0.002,18.468,2.066,79.448,0.016,0.0,0.001,17.429,2.118,80.440,0.011,0.0,0.001,17.132,2.078,80.779,0.009,0.0,0.001,33.859,1.879,64.221,0.040,0.0,0.002,19.658,1.413,78.917,0.009,0.000,0.003,23.367,1.352,75.270,0.008,0.000,0.003,27.160,1.321,71.507,0.008,0.000,0.004,29.050,1.556,69.387,0.006,0.000,0.001,30.144,1.586,68.262,0.007,0.0,0.000,29.040,1.809,69.112,0.038,0.000,0.002,28.902,1.517,69.572,0.008,0.000,0.002,29.649,1.589,68.754,0.007,0.000,0.001,29.220,1.437,69.337,0.006,0.000,0.001,29.173,1.471,69.351,0.005,0.0,0.001,28.988,1.505,69.501,0.005,0.0,0.000,0.0,0.0,1002475520.0,368656384.0,8430497792.0,40939364352.0,18.750,16.770,13.210
25-02 20:29:20,24.0,0.0,48.0,1108779008.0,368656384.0,8444313600.0,40819245056.0,0.0,0.0,0.0,4096.0,29943.0,32378.0,40.0,35.0,25.0,0.0,0.0,0.0,46.0,31.0,23.0,0.0,0.0,0.0,38.384,34.343,27.273,0.0,0.0,0.0,38.0,33.0,29.0,0.0,0.0,0.0,34.0,38.0,28.0,0.0,0.0,0.0,37.0,33.0,30.0,0.0,0.0,0.0,41.414,36.364,20.202,2.020,0.0,0.0,41.414,34.343,24.242,0.0,0.0,0.0,40.0,36.0,24.0,0.0,0.0,0.0,37.0,38.0,25.0,0.0,0.0,0.0,44.0,37.0,19.0,0.0,0.0,0.0,37.624,36.634,25.743,0.0,0.0,0.0,18.367,14.286,67.347,0.0,0.0,0.0,10.891,7.921,80.198,0.0,0.0,0.990,38.384,36.364,25.253,0.0,0.0,0.0,34.0,33.0,33.0,0.0,0.0,0.0,39.394,33.333,27.273,0.0,0.0,0.0,34.653,35.644,29.703,0.0,0.0,0.0,38.0,37.0,25.0,0.0,0.0,0.0,36.634,37.624,24.752,0.0,0.0,0.990,36.0,37.0,27.0,0.0,0.0,0.0,37.374,37.374,25.253,0.0,0.0,0.0,46.0,35.0,15.0,0.0,0.0,4.0,37.0,36.0,27.0,0.0,0.0,0.0,50977.0,81253.0,1108606976.0,368656384.0,8444358656.0,40819372032.0,18.750,16.770,13.210
25-02 20:29:21,24.0,0.0,0.0,1107664896.0,368656384.0,8445177856.0,40819494912.0,0.0,0.0,0.0,0.0,24744.0,6609.0,52.0,48.0,0.0,0.0,0.0,0.0,1.980,1.980,96.040,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,50.495,49.505,0.0,0.0,0.0,0.0,46.0,54.0,0.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,51.485,48.515,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,56.566,40.404,3.030,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,48.485,51.515,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,45.455,54.545,0.0,0.0,0.0,0.0,46.0,54.0,0.0,0.0,0.0,0.0,44.0,56.0,0.0,0.0,0.0,0.0,53.0,46.0,0.0,0.0,0.0,1.0,48.485,51.515,0.0,0.0,0.0,0.0,0.0,0.0,1107664896.0,368656384.0,8445177856.0,40819494912.0,18.750,16.770,13.210
25-02 20:29:22,24.0,0.0,0.0,1107914752.0,368656384.0,8445181952.0,40819240960.0,0.0,0.0,0.0,0.0,24866.0,7068.0,53.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,43.434,56.566,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,57.426,42.574,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,50.495,49.505,0.0,0.0,0.0,0.0,49.0,51.0,0.0,0.0,0.0,0.0,46.535,53.465,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,39.604,59.406,0.0,0.0,0.0,0.990,47.0,53.0,0.0,0.0,0.0,0.0,47.475,52.525,0.0,0.0,0.0,0.0,53.465,46.535,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,1658140.0,1715963.0,1107914752.0,368656384.0,8445181952.0,40819240960.0,18.750,16.770,13.210
25-02 20:29:23,24.0,0.0,0.0,1106898944.0,368656384.0,8445181952.0,40820256768.0,0.0,0.0,0.0,0.0,25058.0,7131.0,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,43.0,57.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,46.0,54.0,0.0,0.0,0.0,0.0,50.505,49.495,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,43.0,57.0,0.0,0.0,0.0,0.0,52.525,46.465,0.0,0.0,0.0,1.010,44.444,55.556,0.0,0.0,0.0,0.0,46.465,53.535,0.0,0.0,0.0,0.0,45.545,54.455,0.0,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,57.426,42.574,0.0,0.0,0.0,0.0,0.0,0.0,1106771968.0,368656384.0,8445181952.0,40820383744.0,19.170,16.890,13.270
25-02 20:29:24,25.0,0.0,0.0,1105997824.0,368656384.0,8445181952.0,40821157888.0,0.0,0.0,0.0,0.0,25023.0,7088.0,52.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,46.0,54.0,0.0,0.0,0.0,0.0,43.564,56.436,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,50.495,49.505,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,50.505,49.495,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,46.465,53.535,0.0,0.0,0.0,0.0,53.465,45.545,0.0,0.0,0.0,0.990,44.0,56.0,0.0,0.0,0.0,0.0,49.0,51.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,55.556,44.444,0.0,0.0,0.0,0.0,1291681.0,1307607.0,1105997824.0,368656384.0,8445181952.0,40821157888.0,19.170,16.890,13.270
25-02 20:29:25,24.0,0.0,0.0,1106235392.0,368656384.0,8445181952.0,40820920320.0,0.0,0.0,0.0,217088.0,24952.0,7112.0,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.505,49.495,0.0,0.0,0.0,0.0,47.475,52.525,0.0,0.0,0.0,0.0,44.444,55.556,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,49.495,50.505,0.0,0.0,0.0,0.0,43.0,57.0,0.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,56.566,43.434,0.0,0.0,0.0,0.0,47.475,52.525,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,59.596,40.404,0.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,42.574,57.426,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,43.0,57.0,0.0,0.0,0.0,0.0,43.564,56.436,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1106108416.0,368656384.0,8445181952.0,40821047296.0,19.170,16.890,13.270
25-02 20:29:26,1.0,0.0,1.0,1011023872.0,368656384.0,8430522368.0,40930791424.0,0.0,0.0,0.0,0.0,16923.0,24550.0,11.224,9.184,79.592,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.784,11.765,77.451,0.0,0.0,0.0,10.0,11.0,79.0,0.0,0.0,0.0,9.0,11.0,80.0,0.0,0.0,0.0,11.0,9.0,80.0,0.0,0.0,0.0,11.0,10.0,79.0,0.0,0.0,0.0,11.111,9.091,79.798,0.0,0.0,0.0,9.0,12.0,79.0,0.0,0.0,0.0,11.111,9.091,79.798,0.0,0.0,0.0,9.0,11.0,80.0,0.0,0.0,0.0,12.0,9.0,79.0,0.0,0.0,0.0,11.0,9.0,80.0,0.0,0.0,0.0,11.881,8.911,79.208,0.0,0.0,0.0,9.804,11.765,78.431,0.0,0.0,0.0,11.0,10.0,79.0,0.0,0.0,0.0,10.0,10.0,80.0,0.0,0.0,0.0,10.101,10.101,79.798,0.0,0.0,0.0,12.121,8.081,79.798,0.0,0.0,0.0,10.0,11.0,79.0,0.0,0.0,0.0,9.091,11.111,79.798,0.0,0.0,0.0,10.0,10.0,80.0,0.0,0.0,0.0,11.0,10.0,79.0,0.0,0.0,0.0,12.0,9.0,79.0,0.0,0.0,0.0,1309410.0,1322298.0,1010642944.0,368656384.0,8430522368.0,40931172352.0,19.170,16.890,13.270
25-02 20:29:27,0.0,0.0,0.0,1008623616.0,368656384.0,8430522368.0,40933191680.0,0.0,0.0,0.0,0.0,1906.0,2128.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1008316416.0,368656384.0,8430522368.0,40933498880.0,19.170,16.890,13.270
25-02 20:29:28,0.0,0.0,0.0,1006759936.0,368656384.0,8430522368.0,40935055360.0,0.0,0.0,0.0,40960.0,1993.0,2153.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,97697.0,104026.0,1006759936.0,368656384.0,8430522368.0,40935055360.0,17.630,16.610,13.200
