"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output is.C.32_3_compute-431-9_MPI_ETH.csv",,,,"Date:","25 Feb 2016 20:21:31 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"net/eth0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","1m","5m","15m"
25-02 20:21:31,0.0,0.0,12.376,1008799744.0,368656384.0,8429776896.0,40933761024.0,87.814,289.805,11473.757,494779.247,2810.153,11966.527,16.290,1.667,81.855,0.159,0.000,0.029,28.923,1.895,69.162,0.020,0.0,0.000,24.384,1.913,73.682,0.019,0.0,0.003,21.863,2.115,76.006,0.014,0.0,0.003,19.403,2.017,78.567,0.011,0.0,0.002,17.927,2.011,80.050,0.010,0.0,0.002,19.702,1.842,78.260,0.187,0.000,0.008,19.962,1.951,78.048,0.037,0.0,0.002,18.840,2.031,79.103,0.024,0.0,0.002,18.467,2.066,79.449,0.016,0.0,0.001,17.429,2.117,80.441,0.011,0.0,0.001,17.132,2.078,80.780,0.009,0.0,0.001,33.859,1.879,64.221,0.040,0.0,0.002,19.658,1.413,78.918,0.009,0.000,0.003,23.366,1.352,75.271,0.008,0.000,0.003,27.160,1.321,71.508,0.008,0.000,0.004,29.049,1.556,69.387,0.006,0.000,0.001,30.144,1.586,68.263,0.007,0.0,0.000,29.039,1.808,69.113,0.038,0.000,0.002,28.901,1.516,69.573,0.008,0.000,0.002,29.649,1.588,68.755,0.007,0.000,0.001,29.219,1.436,69.338,0.006,0.000,0.001,29.173,1.470,69.351,0.005,0.0,0.001,28.988,1.505,69.502,0.005,0.0,0.000,0.0,0.0,1009188864.0,368656384.0,8429776896.0,40933371904.0,14.020,15.290,10.760
25-02 20:21:32,24.0,0.0,48.0,1494372352.0,368656384.0,8443260928.0,40434704384.0,0.0,0.0,0.0,65536.0,29068.0,32489.0,66.337,10.891,22.772,0.0,0.0,0.0,67.677,13.131,19.192,0.0,0.0,0.0,65.657,11.111,23.232,0.0,0.0,0.0,65.0,11.0,24.0,0.0,0.0,0.0,63.636,10.101,26.263,0.0,0.0,0.0,62.745,10.784,26.471,0.0,0.0,0.0,39.0,10.0,48.0,3.0,0.0,0.0,58.586,2.020,39.394,0.0,0.0,0.0,64.0,10.0,26.0,0.0,0.0,0.0,63.636,9.091,27.273,0.0,0.0,0.0,62.0,8.0,30.0,0.0,0.0,0.0,11.111,6.061,82.828,0.0,0.0,0.0,63.0,11.0,26.0,0.0,0.0,0.0,68.0,13.0,15.0,0.0,0.0,4.0,63.725,12.745,23.529,0.0,0.0,0.0,63.366,10.891,25.743,0.0,0.0,0.0,65.657,8.081,26.263,0.0,0.0,0.0,63.636,10.101,26.263,0.0,0.0,0.0,61.386,10.891,27.723,0.0,0.0,0.0,64.286,9.184,26.531,0.0,0.0,0.0,56.0,10.0,34.0,0.0,0.0,0.0,61.0,11.0,28.0,0.0,0.0,0.0,34.653,7.921,57.426,0.0,0.0,0.0,62.0,5.0,33.0,0.0,0.0,0.0,555834.0,610933.0,1496469504.0,368656384.0,8443260928.0,40432607232.0,14.020,15.290,10.760
25-02 20:21:33,24.0,0.0,0.0,2252734464.0,368656384.0,8444403712.0,39675199488.0,0.0,0.0,0.0,0.0,40825.0,6497.0,51.515,48.485,0.0,0.0,0.0,0.0,49.0,51.0,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,51.485,48.515,0.0,0.0,0.0,0.0,55.556,44.444,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,49.0,51.0,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,51.485,48.515,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,53.0,45.0,0.0,0.0,0.0,2.0,47.475,49.495,0.0,0.0,0.0,3.030,55.556,42.424,0.0,0.0,0.0,2.020,51.0,46.0,0.0,0.0,0.0,3.0,49.0,51.0,0.0,0.0,0.0,0.0,51.515,47.475,0.0,0.0,0.0,1.010,47.525,50.495,0.0,0.0,0.0,1.980,51.515,46.465,0.0,0.0,0.0,2.020,47.0,50.0,0.0,0.0,0.0,3.0,46.465,53.535,0.0,0.0,0.0,0.0,54.455,45.545,0.0,0.0,0.0,0.0,0.0,0.0,2251972608.0,368656384.0,8444403712.0,39675961344.0,14.020,15.290,10.760
25-02 20:21:34,24.0,0.0,0.0,2409893888.0,368656384.0,8444452864.0,39517990912.0,0.0,0.0,0.0,0.0,54640.0,6528.0,39.604,60.396,0.0,0.0,0.0,0.0,43.564,56.436,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,43.0,57.0,0.0,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,34.0,66.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,37.374,62.626,0.0,0.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,39.0,61.0,0.0,0.0,0.0,0.0,37.374,60.606,0.0,0.0,0.0,2.020,39.604,54.455,0.0,0.0,0.0,5.941,38.0,58.0,0.0,0.0,0.0,4.0,37.0,59.0,0.0,0.0,0.0,4.0,37.0,63.0,0.0,0.0,0.0,0.0,39.604,57.426,0.0,0.0,0.0,2.970,31.0,66.0,0.0,0.0,0.0,3.0,33.663,62.376,0.0,0.0,0.0,3.960,37.0,59.0,0.0,0.0,0.0,4.0,35.0,65.0,0.0,0.0,0.0,0.0,37.374,62.626,0.0,0.0,0.0,0.0,93338808.0,92838991.0,2409893888.0,368656384.0,8444452864.0,39517990912.0,14.820,15.440,10.830
25-02 20:21:35,24.0,0.0,0.0,2410782720.0,368656384.0,8444452864.0,39517102080.0,0.0,0.0,0.0,0.0,56297.0,6582.0,38.0,62.0,0.0,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0,0.0,42.0,58.0,0.0,0.0,0.0,0.0,38.384,61.616,0.0,0.0,0.0,0.0,37.374,62.626,0.0,0.0,0.0,0.0,37.624,62.376,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,32.0,68.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,34.653,65.347,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,39.604,60.396,0.0,0.0,0.0,0.0,38.614,58.416,0.0,0.0,0.0,2.970,39.394,54.545,0.0,0.0,0.0,6.061,39.0,58.0,0.0,0.0,0.0,3.0,34.343,63.636,0.0,0.0,0.0,2.020,43.564,56.436,0.0,0.0,0.0,0.0,39.0,59.0,0.0,0.0,0.0,2.0,33.0,64.0,0.0,0.0,0.0,3.0,33.333,63.636,0.0,0.0,0.0,3.030,38.0,58.0,0.0,0.0,0.0,4.0,32.673,67.327,0.0,0.0,0.0,0.0,42.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2411163648.0,368656384.0,8444452864.0,39516721152.0,14.820,15.440,10.830
25-02 20:21:36,25.0,0.0,0.0,2410528768.0,368656384.0,8444452864.0,39517356032.0,0.0,0.0,0.0,0.0,62247.0,6433.0,31.0,69.0,0.0,0.0,0.0,0.0,39.394,60.606,0.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,30.693,69.307,0.0,0.0,0.0,0.0,29.703,70.297,0.0,0.0,0.0,0.0,30.303,69.697,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0,29.0,71.0,0.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,31.313,68.687,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,32.323,67.677,0.0,0.0,0.0,0.0,30.0,67.0,0.0,0.0,0.0,3.0,28.0,69.0,0.0,0.0,0.0,3.0,27.0,67.0,0.0,0.0,0.0,6.0,30.693,65.347,0.0,0.0,0.0,3.960,29.293,70.707,0.0,0.0,0.0,0.0,34.0,63.0,0.0,0.0,0.0,3.0,25.253,72.727,0.0,0.0,0.0,2.020,29.703,66.337,0.0,0.0,0.0,3.960,32.0,64.0,0.0,0.0,0.0,4.0,31.313,68.687,0.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,165153320.0,163684864.0,2410528768.0,368656384.0,8444452864.0,39517356032.0,14.820,15.440,10.830
25-02 20:21:37,24.0,0.0,0.0,2410655744.0,368656384.0,8444452864.0,39517229056.0,0.0,0.0,0.0,192512.0,56013.0,6644.0,38.0,62.0,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,39.394,60.606,0.0,0.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,94.898,5.102,0.0,0.0,34.0,66.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40.594,59.406,0.0,0.0,0.0,0.0,38.0,59.0,0.0,0.0,0.0,3.0,40.0,53.0,0.0,0.0,0.0,7.0,39.0,58.0,0.0,0.0,0.0,3.0,37.374,59.596,0.0,0.0,0.0,3.030,37.0,63.0,0.0,0.0,0.0,0.0,38.0,60.0,0.0,0.0,0.0,2.0,31.0,67.0,0.0,0.0,0.0,2.0,32.0,65.0,0.0,0.0,0.0,3.0,38.0,59.0,0.0,0.0,0.0,3.0,36.0,64.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2411417600.0,368656384.0,8444452864.0,39516467200.0,14.820,15.440,10.830
25-02 20:21:38,24.0,0.0,1.0,2410016768.0,368656384.0,8444456960.0,39517863936.0,0.0,0.0,0.0,0.0,59814.0,6740.0,38.384,61.616,0.0,0.0,0.0,0.0,45.545,54.455,0.0,0.0,0.0,0.0,35.354,64.646,0.0,0.0,0.0,0.0,34.343,65.657,0.0,0.0,0.0,0.0,42.574,57.426,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,33.333,66.667,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,39.0,61.0,0.0,0.0,0.0,0.0,34.0,66.0,0.0,0.0,0.0,0.0,17.822,35.644,46.535,0.0,0.0,0.0,39.394,60.606,0.0,0.0,0.0,0.0,39.394,58.586,0.0,0.0,0.0,2.020,34.0,60.0,0.0,0.0,0.0,6.0,33.0,62.0,0.0,0.0,0.0,5.0,41.0,57.0,0.0,0.0,0.0,2.0,38.0,62.0,0.0,0.0,0.0,0.0,39.394,58.586,0.0,0.0,0.0,2.020,30.0,66.0,0.0,0.0,0.0,4.0,32.0,64.0,0.0,0.0,0.0,4.0,37.0,59.0,0.0,0.0,0.0,4.0,37.0,63.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,172298896.0,171797054.0,2410016768.0,368656384.0,8444456960.0,39517863936.0,14.820,15.440,10.830
25-02 20:21:39,24.0,0.0,0.0,2410848256.0,368656384.0,8444456960.0,39517032448.0,0.0,0.0,0.0,0.0,60886.0,6621.0,38.0,62.0,0.0,0.0,0.0,0.0,45.455,54.545,0.0,0.0,0.0,0.0,36.634,63.366,0.0,0.0,0.0,0.0,33.663,66.337,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,36.634,63.366,0.0,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,34.653,63.366,0.0,0.0,0.0,1.980,35.644,59.406,0.0,0.0,0.0,4.950,34.0,62.0,0.0,0.0,0.0,4.0,34.0,62.0,0.0,0.0,0.0,4.0,34.0,66.0,0.0,0.0,0.0,0.0,36.634,60.396,0.0,0.0,0.0,2.970,30.0,66.0,0.0,0.0,0.0,4.0,33.333,63.636,0.0,0.0,0.0,3.030,36.0,60.0,0.0,0.0,0.0,4.0,34.653,64.356,0.0,0.0,0.0,0.990,37.0,61.0,0.0,0.0,0.0,2.0,0.0,0.0,2411229184.0,368656384.0,8444456960.0,39516651520.0,15.550,15.580,10.900
25-02 20:21:40,24.0,0.0,0.0,2409832448.0,368656384.0,8444456960.0,39518048256.0,0.0,0.0,0.0,0.0,61072.0,6919.0,37.0,63.0,0.0,0.0,0.0,0.0,44.0,56.0,0.0,0.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,0.0,40.404,59.596,0.0,0.0,0.0,0.0,37.374,62.626,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,1.042,0.0,98.958,0.0,0.0,0.0,33.0,63.0,0.0,0.0,0.0,4.0,37.0,63.0,0.0,0.0,0.0,0.0,35.354,64.646,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,36.364,63.636,0.0,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,39.0,61.0,0.0,0.0,0.0,0.0,42.0,58.0,0.0,0.0,0.0,0.0,37.624,62.376,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,0.0,0.0,39.0,58.0,0.0,0.0,0.0,3.0,32.673,64.356,0.0,0.0,0.0,2.970,33.663,63.366,0.0,0.0,0.0,2.970,37.0,60.0,0.0,0.0,0.0,3.0,36.0,60.0,0.0,0.0,0.0,4.0,35.0,60.0,0.0,0.0,0.0,5.0,205508840.0,202122796.0,2409832448.0,368656384.0,8444456960.0,39518048256.0,15.550,15.580,10.900
