"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output mg.C.32_2_compute-431-9_MPI_ETH.csv",,,,"Date:","25 Feb 2016 20:40:26 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"net/eth0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","1m","5m","15m"
25-02 20:40:26,0.000,0.000,12.376,1011179520.0,368693248.0,8450801664.0,40910319616.0,87.810,289.792,11473.246,494762.388,2811.188,11966.369,16.291,1.668,81.853,0.159,0.000,0.029,28.924,1.896,69.160,0.020,0.0,0.000,24.385,1.914,73.680,0.019,0.0,0.003,21.864,2.116,76.004,0.014,0.0,0.003,19.404,2.018,78.565,0.011,0.0,0.002,17.928,2.012,80.048,0.010,0.0,0.002,19.703,1.843,78.258,0.187,0.000,0.008,19.963,1.952,78.046,0.037,0.0,0.002,18.841,2.032,79.101,0.024,0.0,0.002,18.468,2.067,79.448,0.016,0.0,0.001,17.430,2.118,80.439,0.011,0.0,0.001,17.133,2.079,80.778,0.009,0.0,0.001,33.859,1.880,64.220,0.040,0.0,0.002,19.659,1.414,78.916,0.009,0.000,0.003,23.367,1.353,75.269,0.008,0.000,0.003,27.160,1.322,71.506,0.008,0.000,0.004,29.050,1.557,69.386,0.006,0.000,0.001,30.144,1.587,68.262,0.007,0.0,0.000,29.040,1.809,69.111,0.038,0.000,0.002,28.902,1.517,69.571,0.008,0.000,0.002,29.649,1.589,68.753,0.007,0.000,0.001,29.220,1.437,69.336,0.006,0.000,0.001,29.173,1.471,69.350,0.005,0.0,0.001,28.989,1.506,69.501,0.005,0.0,0.000,0.0,0.0,1011179520.0,368693248.0,8450801664.0,40910319616.0,12.890,15.620,14.500
25-02 20:40:27,24.0,0.0,49.0,2925789184.0,368693248.0,8464396288.0,38982115328.0,0.0,0.0,0.0,4096.0,29616.0,31300.0,42.574,36.634,20.792,0.0,0.0,0.0,48.0,35.0,17.0,0.0,0.0,0.0,45.455,32.323,22.222,0.0,0.0,0.0,45.0,32.0,23.0,0.0,0.0,0.0,43.434,33.333,23.232,0.0,0.0,0.0,43.0,33.0,24.0,0.0,0.0,0.0,39.604,36.634,21.782,1.980,0.0,0.0,23.469,20.408,56.122,0.0,0.0,0.0,42.0,32.0,26.0,0.0,0.0,0.0,42.0,33.0,25.0,0.0,0.0,0.0,8.0,7.0,85.0,0.0,0.0,0.0,36.634,34.653,28.713,0.0,0.0,0.0,43.0,36.0,21.0,0.0,0.0,0.0,48.0,35.0,13.0,0.0,0.0,4.0,43.434,33.333,23.232,0.0,0.0,0.0,48.0,30.0,22.0,0.0,0.0,0.0,41.0,34.0,25.0,0.0,0.0,0.0,46.0,29.0,25.0,0.0,0.0,0.0,39.0,33.0,27.0,0.0,0.0,1.0,11.111,10.101,77.778,0.0,0.0,1.010,39.394,35.354,25.253,0.0,0.0,0.0,39.0,34.0,27.0,0.0,0.0,0.0,39.0,35.0,26.0,0.0,0.0,0.0,15.0,16.0,69.0,0.0,0.0,0.0,0.0,0.0,2925789184.0,368693248.0,8464396288.0,38982115328.0,12.890,15.620,14.500
25-02 20:40:28,24.0,0.0,0.0,3911098368.0,368693248.0,8465489920.0,37995712512.0,0.0,0.0,0.0,0.0,31077.0,7335.0,69.0,31.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,66.337,33.663,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,62.626,37.374,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,63.366,36.634,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,63.636,34.343,0.0,0.0,0.0,2.020,65.347,32.673,0.0,0.0,0.0,1.980,70.297,28.713,0.0,0.0,0.0,0.990,64.356,33.663,0.0,0.0,0.0,1.980,64.0,36.0,0.0,0.0,0.0,0.0,60.606,38.384,0.0,0.0,0.0,1.010,62.376,35.644,0.0,0.0,0.0,1.980,61.0,37.0,0.0,0.0,0.0,2.0,63.0,36.0,0.0,0.0,0.0,1.0,58.0,42.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,5219359.0,5293389.0,3911098368.0,368693248.0,8465489920.0,37995712512.0,12.890,15.620,14.500
25-02 20:40:29,24.0,0.0,0.0,3962695680.0,368693248.0,8465494016.0,37944111104.0,0.0,0.0,0.0,0.0,33202.0,6517.0,81.0,19.0,0.0,0.0,0.0,0.0,82.0,18.0,0.0,0.0,0.0,0.0,80.808,19.192,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,82.0,18.0,0.0,0.0,0.0,0.0,77.228,22.772,0.0,0.0,0.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,78.788,21.212,0.0,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,79.0,18.0,0.0,0.0,0.0,3.0,76.768,21.212,0.0,0.0,0.0,2.020,80.808,19.192,0.0,0.0,0.0,0.0,76.768,22.222,0.0,0.0,0.0,1.010,83.0,17.0,0.0,0.0,0.0,0.0,73.0,24.0,0.0,0.0,0.0,3.0,72.0,26.0,0.0,0.0,0.0,2.0,77.0,20.0,0.0,0.0,0.0,3.0,73.267,25.743,0.0,0.0,0.0,0.990,67.677,32.323,0.0,0.0,0.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3962695680.0,368693248.0,8465494016.0,37944111104.0,13.780,15.760,14.550
25-02 20:40:30,24.0,0.0,0.0,3962826752.0,368693248.0,8465494016.0,37943980032.0,0.0,0.0,0.0,0.0,31319.0,6577.0,69.697,30.303,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,64.356,35.644,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,67.0,30.0,0.0,0.0,0.0,3.0,65.0,34.0,0.0,0.0,0.0,1.0,71.0,28.0,0.0,0.0,0.0,1.0,68.0,30.0,0.0,0.0,0.0,2.0,66.0,34.0,0.0,0.0,0.0,0.0,61.386,35.644,0.0,0.0,0.0,2.970,58.0,40.0,0.0,0.0,0.0,2.0,66.0,32.0,0.0,0.0,0.0,2.0,63.636,36.364,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,62.376,37.624,0.0,0.0,0.0,0.0,23633114.0,23354346.0,3962826752.0,368693248.0,8465494016.0,37943980032.0,13.780,15.760,14.550
25-02 20:40:31,24.0,0.0,0.0,3961024512.0,368693248.0,8465494016.0,37945782272.0,0.0,0.0,0.0,0.0,33671.0,6517.0,80.198,19.802,0.0,0.0,0.0,0.0,81.0,19.0,0.0,0.0,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,82.0,18.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,77.778,22.222,0.0,0.0,0.0,0.0,72.277,27.723,0.0,0.0,0.0,0.0,73.267,26.733,0.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,82.0,18.0,0.0,0.0,0.0,0.0,76.0,20.0,0.0,0.0,0.0,4.0,73.737,24.242,0.0,0.0,0.0,2.020,78.0,21.0,0.0,0.0,0.0,1.0,77.0,21.0,0.0,0.0,0.0,2.0,78.0,22.0,0.0,0.0,0.0,0.0,72.0,25.0,0.0,0.0,0.0,3.0,68.0,30.0,0.0,0.0,0.0,2.0,72.727,24.242,0.0,0.0,0.0,3.030,70.0,29.0,0.0,0.0,0.0,1.0,66.0,34.0,0.0,0.0,0.0,0.0,70.707,29.293,0.0,0.0,0.0,0.0,0.0,0.0,3961024512.0,368693248.0,8465494016.0,37945782272.0,13.780,15.760,14.550
25-02 20:40:32,24.0,0.0,0.0,3961786368.0,368693248.0,8465494016.0,37945020416.0,0.0,0.0,0.0,196608.0,34775.0,6553.0,81.0,19.0,0.0,0.0,0.0,0.0,78.218,21.782,0.0,0.0,0.0,0.0,81.188,18.812,0.0,0.0,0.0,0.0,81.0,19.0,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,77.228,22.772,0.0,0.0,0.0,0.0,72.277,26.733,0.0,0.0,0.0,0.990,76.0,24.0,0.0,0.0,0.0,0.0,76.238,23.762,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,76.238,19.802,0.0,0.0,0.0,3.960,77.228,20.792,0.0,0.0,0.0,1.980,83.168,15.842,0.0,0.0,0.0,0.990,74.0,25.0,0.0,0.0,0.0,1.0,77.228,22.772,0.0,0.0,0.0,0.0,69.0,27.0,0.0,0.0,0.0,4.0,69.307,28.713,0.0,0.0,0.0,1.980,74.257,22.772,0.0,0.0,0.0,2.970,73.267,25.743,0.0,0.0,0.0,0.990,68.317,31.683,0.0,0.0,0.0,0.0,76.238,23.762,0.0,0.0,0.0,0.0,37498200.0,38807922.0,3961786368.0,368693248.0,8465494016.0,37945020416.0,13.780,15.760,14.550
25-02 20:40:33,24.0,0.0,0.0,3960766464.0,368693248.0,8465498112.0,37946036224.0,0.0,0.0,0.0,0.0,33832.0,6506.0,83.0,17.0,0.0,0.0,0.0,0.0,82.828,17.172,0.0,0.0,0.0,0.0,85.0,15.0,0.0,0.0,0.0,0.0,82.0,18.0,0.0,0.0,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,81.0,19.0,0.0,0.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,81.0,19.0,0.0,0.0,0.0,0.0,81.0,15.0,0.0,0.0,0.0,4.0,79.0,19.0,0.0,0.0,0.0,2.0,87.879,12.121,0.0,0.0,0.0,0.0,77.0,22.0,0.0,0.0,0.0,1.0,78.788,21.212,0.0,0.0,0.0,0.0,73.0,24.0,0.0,0.0,0.0,3.0,73.737,24.242,0.0,0.0,0.0,2.020,78.0,19.0,0.0,0.0,0.0,3.0,75.758,24.242,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,77.778,22.222,0.0,0.0,0.0,0.0,0.0,0.0,3960766464.0,368693248.0,8465498112.0,37946036224.0,13.780,15.760,14.550
25-02 20:40:34,25.0,0.0,0.0,3959496704.0,368693248.0,8465498112.0,37947305984.0,0.0,0.0,0.0,12288.0,33239.0,6536.0,78.0,22.0,0.0,0.0,0.0,0.0,76.238,23.762,0.0,0.0,0.0,0.0,77.778,22.222,0.0,0.0,0.0,0.0,78.218,21.782,0.0,0.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,73.267,26.733,0.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,78.218,21.782,0.0,0.0,0.0,0.0,76.768,20.202,0.0,0.0,0.0,3.030,72.0,26.0,0.0,0.0,0.0,2.0,79.208,19.802,0.0,0.0,0.0,0.990,74.257,23.762,0.0,0.0,0.0,1.980,74.0,26.0,0.0,0.0,0.0,0.0,69.0,28.0,0.0,0.0,0.0,3.0,69.697,29.293,0.0,0.0,0.0,1.010,72.0,26.0,0.0,0.0,0.0,2.0,69.0,30.0,0.0,0.0,0.0,1.0,66.0,34.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,40069660.0,39139080.0,3959496704.0,368693248.0,8465498112.0,37947305984.0,14.590,15.900,14.600
25-02 20:40:35,24.0,0.0,0.0,3959771136.0,368693248.0,8465498112.0,37947031552.0,0.0,0.0,0.0,0.0,30242.0,6376.0,75.758,24.242,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,73.737,26.263,0.0,0.0,0.0,0.0,2.062,0.0,97.938,0.0,0.0,0.0,68.687,30.303,0.0,0.0,0.0,1.010,76.531,23.469,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,65.657,32.323,0.0,0.0,0.0,2.020,68.317,30.693,0.0,0.0,0.0,0.990,69.0,29.0,0.0,0.0,0.0,2.0,70.297,29.703,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3959771136.0,368693248.0,8465498112.0,37947031552.0,14.590,15.900,14.600
