"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output cg.B.x_1_compute-641-12_NTHREADS_52.csv",,,,"Date:","24 Feb 2016 07:50:44 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"cpu24 usage",,,,,,"cpu25 usage",,,,,,"cpu26 usage",,,,,,"cpu27 usage",,,,,,"cpu28 usage",,,,,,"cpu29 usage",,,,,,"cpu30 usage",,,,,,"cpu31 usage",,,,,,"net/eth0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","1m","5m","15m"
24-02 07:50:44,0.000,0.0,0.648,1028030464.0,51224576.0,146735104.0,66432634880.0,56.425,398.611,269.280,18894.052,16015.015,15016.667,52.178,6.585,41.144,0.093,0.0,0.001,37.426,5.120,57.425,0.029,0.0,0.000,37.601,5.009,57.363,0.023,0.0,0.004,39.544,5.178,55.252,0.021,0.0,0.005,42.084,5.635,52.257,0.019,0.0,0.005,41.936,5.594,52.445,0.020,0.0,0.005,44.117,6.033,49.828,0.019,0.0,0.003,42.636,5.721,51.624,0.018,0.0,0.001,45.034,4.679,50.020,0.267,0.0,0.001,42.937,4.452,52.406,0.205,0.0,0.001,44.000,4.447,51.411,0.141,0.0,0.001,43.307,4.422,52.165,0.105,0.0,0.000,48.682,4.822,46.012,0.481,0.000,0.002,44.850,4.505,50.571,0.073,0.0,0.000,45.482,4.553,49.904,0.061,0.0,0.000,44.975,4.524,50.448,0.053,0.0,0.000,62.966,9.749,27.256,0.028,0.0,0.001,57.999,12.677,29.304,0.015,0.000,0.005,59.721,12.441,27.818,0.018,0.000,0.002,59.302,12.028,28.649,0.016,0.000,0.005,61.123,11.278,27.581,0.015,0.000,0.003,59.465,11.722,28.798,0.015,0.0,0.000,60.302,11.176,28.508,0.014,0.0,0.000,59.443,11.572,28.970,0.014,0.0,0.000,57.792,10.455,31.697,0.050,0.000,0.006,58.217,10.475,31.222,0.046,0.000,0.040,58.088,10.360,31.493,0.045,0.000,0.015,58.650,10.308,30.967,0.045,0.000,0.030,58.756,9.420,31.736,0.073,0.0,0.015,58.167,9.856,31.930,0.038,0.0,0.008,57.827,9.812,32.308,0.039,0.0,0.014,57.826,9.886,32.245,0.036,0.0,0.006,0.0,0.0,1032351744.0,51224576.0,146735104.0,66428313600.0,13.050,10.540,7.310
24-02 07:50:45,10.0,0.0,0.0,1258311680.0,51224576.0,146743296.0,66202345472.0,0.0,0.0,0.0,0.0,24124.0,48051.0,72.0,6.0,22.0,0.0,0.0,0.0,69.697,5.051,25.253,0.0,0.0,0.0,68.317,5.941,25.743,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,61.0,6.0,33.0,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,67.327,5.941,26.733,0.0,0.0,0.0,74.0,6.0,20.0,0.0,0.0,0.0,68.687,6.061,25.253,0.0,0.0,0.0,68.687,5.051,26.263,0.0,0.0,0.0,61.0,5.0,34.0,0.0,0.0,0.0,68.687,5.051,26.263,0.0,0.0,0.0,56.566,5.051,38.384,0.0,0.0,0.0,62.376,5.941,31.683,0.0,0.0,0.0,57.426,5.941,36.634,0.0,0.0,0.0,57.143,5.102,37.755,0.0,0.0,0.0,66.667,5.051,28.283,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,68.317,6.931,24.752,0.0,0.0,0.0,64.0,7.0,29.0,0.0,0.0,0.0,61.386,5.941,32.673,0.0,0.0,0.0,67.327,6.931,25.743,0.0,0.0,0.0,65.657,5.051,29.293,0.0,0.0,0.0,70.0,6.0,24.0,0.0,0.0,0.0,66.667,6.863,26.471,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,73.0,5.0,22.0,0.0,0.0,0.0,67.0,5.0,28.0,0.0,0.0,0.0,69.388,4.082,26.531,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,62.626,5.051,32.323,0.0,0.0,0.0,56.566,5.051,38.384,0.0,0.0,0.0,0.0,0.0,1258311680.0,51224576.0,146743296.0,66202345472.0,13.050,10.540,7.310
24-02 07:50:46,41.0,0.0,0.0,1258442752.0,51224576.0,146747392.0,66202210304.0,0.0,0.0,0.0,0.0,24301.0,71329.0,67.0,7.0,26.0,0.0,0.0,0.0,68.0,7.0,25.0,0.0,0.0,0.0,65.0,7.0,28.0,0.0,0.0,0.0,66.0,6.0,28.0,0.0,0.0,0.0,65.657,6.061,28.283,0.0,0.0,0.0,66.337,6.931,26.733,0.0,0.0,0.0,67.347,6.122,26.531,0.0,0.0,0.0,66.327,5.102,28.571,0.0,0.0,0.0,66.667,6.061,27.273,0.0,0.0,0.0,63.636,7.071,29.293,0.0,0.0,0.0,65.657,7.071,27.273,0.0,0.0,0.0,62.626,6.061,31.313,0.0,0.0,0.0,65.657,6.061,28.283,0.0,0.0,0.0,66.0,7.0,27.0,0.0,0.0,0.0,66.667,6.061,27.273,0.0,0.0,0.0,66.0,5.0,29.0,0.0,0.0,0.0,66.327,5.102,28.571,0.0,0.0,0.0,66.667,6.061,27.273,0.0,0.0,0.0,64.356,5.941,29.703,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,66.0,7.0,27.0,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,63.366,6.931,29.703,0.0,0.0,0.0,65.347,5.941,28.713,0.0,0.0,0.0,66.0,5.0,29.0,0.0,0.0,0.0,62.626,5.051,32.323,0.0,0.0,0.0,65.0,5.0,30.0,0.0,0.0,0.0,66.0,6.0,28.0,0.0,0.0,0.0,67.0,5.0,28.0,0.0,0.0,0.0,65.0,5.0,30.0,0.0,0.0,0.0,3274.0,27134.0,1258442752.0,51224576.0,146747392.0,66202210304.0,13.050,10.540,7.310
24-02 07:50:47,18.0,0.0,0.0,1258315776.0,51224576.0,146747392.0,66202337280.0,0.0,0.0,0.0,0.0,24061.0,70516.0,72.0,7.0,21.0,0.0,0.0,0.0,70.707,5.051,24.242,0.0,0.0,0.0,70.707,6.061,23.232,0.0,0.0,0.0,70.103,6.186,23.711,0.0,0.0,0.0,69.697,6.061,24.242,0.0,0.0,0.0,70.297,6.931,22.772,0.0,0.0,0.0,71.287,7.921,20.792,0.0,0.0,0.0,69.307,6.931,23.762,0.0,0.0,0.0,60.204,6.122,33.673,0.0,0.0,0.0,60.0,7.0,33.0,0.0,0.0,0.0,62.0,5.0,33.0,0.0,0.0,0.0,63.265,5.102,31.633,0.0,0.0,0.0,60.0,5.0,35.0,0.0,0.0,0.0,59.0,6.0,35.0,0.0,0.0,0.0,60.0,6.0,34.0,0.0,0.0,0.0,60.396,5.941,33.663,0.0,0.0,0.0,70.0,6.0,24.0,0.0,0.0,0.0,70.707,5.051,24.242,0.0,0.0,0.0,72.165,5.155,22.680,0.0,0.0,0.0,68.0,5.0,27.0,0.0,0.0,0.0,71.717,6.061,22.222,0.0,0.0,0.0,69.697,6.061,24.242,0.0,0.0,0.0,68.687,6.061,25.253,0.0,0.0,0.0,70.0,6.0,24.0,0.0,0.0,0.0,61.856,4.124,34.021,0.0,0.0,0.0,59.0,6.0,35.0,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,58.586,5.051,36.364,0.0,0.0,0.0,58.586,5.051,36.364,0.0,0.0,0.0,60.204,4.082,35.714,0.0,0.0,0.0,58.586,5.051,36.364,0.0,0.0,0.0,63.265,4.082,32.653,0.0,0.0,0.0,0.0,0.0,1258315776.0,51224576.0,146747392.0,66202337280.0,13.050,10.540,7.310
24-02 07:50:48,52.0,0.0,0.0,1257865216.0,51224576.0,146747392.0,66202787840.0,0.0,0.0,0.0,0.0,24446.0,71409.0,68.367,5.102,26.531,0.0,0.0,0.0,64.646,6.061,29.293,0.0,0.0,0.0,65.306,5.102,29.592,0.0,0.0,0.0,64.356,6.931,28.713,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,66.667,5.051,28.283,0.0,0.0,0.0,65.657,4.040,30.303,0.0,0.0,0.0,66.667,5.051,28.283,0.0,0.0,0.0,67.327,5.941,26.733,0.0,0.0,0.0,67.677,5.051,27.273,0.0,0.0,0.0,66.327,5.102,28.571,0.0,0.0,0.0,63.366,5.941,30.693,0.0,0.0,0.0,67.347,6.122,26.531,0.0,0.0,0.0,68.317,5.941,25.743,0.0,0.0,0.0,68.687,6.061,25.253,0.0,0.0,0.0,69.0,6.0,25.0,0.0,0.0,0.0,65.657,6.061,28.283,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,64.646,6.061,29.293,0.0,0.0,0.0,66.0,6.0,28.0,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,62.0,6.0,32.0,0.0,0.0,0.0,67.327,6.931,25.743,0.0,0.0,0.0,64.0,7.0,29.0,0.0,0.0,0.0,63.636,7.071,29.293,0.0,0.0,0.0,65.657,6.061,28.283,0.0,0.0,0.0,66.337,6.931,26.733,0.0,0.0,0.0,67.677,7.071,25.253,0.0,0.0,0.0,67.677,6.061,26.263,0.0,0.0,0.0,65.347,6.931,27.723,0.0,0.0,0.0,770.0,0.0,1257865216.0,51224576.0,146747392.0,66202787840.0,13.050,10.540,7.310
24-02 07:50:49,16.0,0.0,0.0,1257594880.0,51224576.0,146751488.0,66203054080.0,0.0,0.0,0.0,0.0,24305.0,70478.0,69.697,6.061,24.242,0.0,0.0,0.0,68.317,5.941,25.743,0.0,0.0,0.0,69.0,6.0,25.0,0.0,0.0,0.0,67.0,7.0,26.0,0.0,0.0,0.0,66.0,7.0,27.0,0.0,0.0,0.0,67.327,6.931,25.743,0.0,0.0,0.0,67.0,7.0,26.0,0.0,0.0,0.0,67.0,7.0,26.0,0.0,0.0,0.0,62.0,6.0,32.0,0.0,0.0,0.0,63.636,6.061,30.303,0.0,0.0,0.0,64.356,6.931,28.713,0.0,0.0,0.0,64.646,6.061,29.293,0.0,0.0,0.0,65.347,6.931,27.723,0.0,0.0,0.0,63.636,7.071,29.293,0.0,0.0,0.0,63.366,6.931,29.703,0.0,0.0,0.0,61.386,6.931,31.683,0.0,0.0,0.0,65.0,7.0,28.0,0.0,0.0,0.0,67.327,5.941,26.733,0.0,0.0,0.0,70.707,6.061,23.232,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,68.0,6.0,26.0,0.0,0.0,0.0,66.0,7.0,27.0,0.0,0.0,0.0,67.0,7.0,26.0,0.0,0.0,0.0,65.686,6.863,27.451,0.0,0.0,0.0,62.376,6.931,30.693,0.0,0.0,0.0,61.0,6.0,33.0,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,64.286,4.082,31.633,0.0,0.0,0.0,64.646,4.040,31.313,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,62.626,6.061,31.313,0.0,0.0,0.0,0.0,0.0,1257594880.0,51224576.0,146751488.0,66203054080.0,12.010,10.360,7.270
24-02 07:50:50,1.0,0.0,0.0,1257467904.0,51232768.0,146743296.0,66203181056.0,0.0,0.0,0.0,16384.0,24312.0,70927.0,64.646,6.061,29.293,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,62.626,5.051,32.323,0.0,0.0,0.0,65.306,5.102,29.592,0.0,0.0,0.0,63.636,5.051,31.313,0.0,0.0,0.0,64.286,4.082,31.633,0.0,0.0,0.0,62.0,5.0,33.0,0.0,0.0,0.0,69.0,5.0,26.0,0.0,0.0,0.0,69.0,6.0,25.0,0.0,0.0,0.0,69.0,6.0,25.0,0.0,0.0,0.0,69.307,6.931,23.762,0.0,0.0,0.0,70.707,6.061,20.202,3.030,0.0,0.0,70.297,5.941,23.762,0.0,0.0,0.0,66.667,5.051,28.283,0.0,0.0,0.0,67.677,6.061,26.263,0.0,0.0,0.0,62.626,5.051,32.323,0.0,0.0,0.0,67.677,6.061,26.263,0.0,0.0,0.0,63.0,5.0,32.0,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,62.0,6.0,32.0,0.0,0.0,0.0,63.0,6.0,31.0,0.0,0.0,0.0,63.636,5.051,31.313,0.0,0.0,0.0,68.367,6.122,25.510,0.0,0.0,0.0,67.347,6.122,26.531,0.0,0.0,0.0,67.677,5.051,27.273,0.0,0.0,0.0,68.687,5.051,26.263,0.0,0.0,0.0,64.0,7.0,28.0,1.0,0.0,0.0,67.327,6.931,25.743,0.0,0.0,0.0,66.667,6.061,27.273,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,240.0,0.0,1257467904.0,51232768.0,146743296.0,66203181056.0,12.010,10.360,7.270
24-02 07:50:51,1.0,0.0,0.0,1253117952.0,51232768.0,146751488.0,66207522816.0,0.0,0.0,0.0,0.0,24352.0,71031.0,65.657,7.071,27.273,0.0,0.0,0.0,66.327,7.143,26.531,0.0,0.0,0.0,65.347,6.931,27.723,0.0,0.0,0.0,65.347,7.921,26.733,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,64.356,6.931,28.713,0.0,0.0,0.0,62.376,5.941,31.683,0.0,0.0,0.0,64.646,6.061,29.293,0.0,0.0,0.0,69.697,7.071,23.232,0.0,0.0,0.0,67.327,5.941,26.733,0.0,0.0,0.0,65.347,6.931,27.723,0.0,0.0,0.0,70.707,6.061,23.232,0.0,0.0,0.0,63.636,6.061,30.303,0.0,0.0,0.0,64.646,6.061,29.293,0.0,0.0,0.0,65.0,7.0,28.0,0.0,0.0,0.0,63.636,5.051,31.313,0.0,0.0,0.0,64.286,5.102,30.612,0.0,0.0,0.0,67.0,5.0,28.0,0.0,0.0,0.0,65.657,5.051,29.293,0.0,0.0,0.0,64.0,5.0,31.0,0.0,0.0,0.0,64.286,6.122,29.592,0.0,0.0,0.0,64.0,5.0,31.0,0.0,0.0,0.0,62.376,5.941,31.683,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,65.347,5.941,28.713,0.0,0.0,0.0,67.347,5.102,27.551,0.0,0.0,0.0,65.657,5.051,29.293,0.0,0.0,0.0,66.327,5.102,28.571,0.0,0.0,0.0,68.687,5.051,26.263,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,67.327,5.941,26.733,0.0,0.0,0.0,67.677,6.061,26.263,0.0,0.0,0.0,0.0,0.0,1253117952.0,51232768.0,146751488.0,66207522816.0,12.010,10.360,7.270
24-02 07:50:52,20.0,0.0,0.0,1253117952.0,51232768.0,146751488.0,66207522816.0,0.0,0.0,0.0,0.0,24412.0,70962.0,66.667,5.051,28.283,0.0,0.0,0.0,64.356,5.941,29.703,0.0,0.0,0.0,62.245,6.122,31.633,0.0,0.0,0.0,63.265,5.102,31.633,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,64.948,5.155,29.897,0.0,0.0,0.0,63.636,5.051,31.313,0.0,0.0,0.0,63.265,5.102,31.633,0.0,0.0,0.0,68.687,6.061,25.253,0.0,0.0,0.0,66.667,6.061,27.273,0.0,0.0,0.0,69.388,5.102,25.510,0.0,0.0,0.0,69.0,6.0,25.0,0.0,0.0,0.0,70.297,5.941,23.762,0.0,0.0,0.0,69.0,6.0,25.0,0.0,0.0,0.0,72.0,6.0,22.0,0.0,0.0,0.0,68.0,7.0,25.0,0.0,0.0,0.0,62.376,6.931,30.693,0.0,0.0,0.0,64.646,7.071,28.283,0.0,0.0,0.0,61.386,5.941,32.673,0.0,0.0,0.0,62.376,5.941,31.683,0.0,0.0,0.0,66.0,6.0,28.0,0.0,0.0,0.0,62.626,6.061,31.313,0.0,0.0,0.0,60.0,6.0,34.0,0.0,0.0,0.0,63.0,5.0,32.0,0.0,0.0,0.0,66.0,6.0,28.0,0.0,0.0,0.0,68.317,6.931,24.752,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,68.317,6.931,24.752,0.0,0.0,0.0,68.687,6.061,25.253,0.0,0.0,0.0,70.707,6.061,23.232,0.0,0.0,0.0,65.347,5.941,28.713,0.0,0.0,0.0,838.0,458.0,1253117952.0,51232768.0,146751488.0,66207522816.0,12.010,10.360,7.270
24-02 07:50:53,52.0,0.0,0.0,1252851712.0,51232768.0,146755584.0,66207784960.0,0.0,0.0,0.0,0.0,24445.0,71658.0,66.667,7.071,26.263,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,68.687,6.061,25.253,0.0,0.0,0.0,66.337,6.931,26.733,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,69.0,7.0,24.0,0.0,0.0,0.0,65.0,7.0,28.0,0.0,0.0,0.0,67.677,7.071,25.253,0.0,0.0,0.0,63.0,7.0,30.0,0.0,0.0,0.0,65.306,6.122,28.571,0.0,0.0,0.0,63.636,6.061,30.303,0.0,0.0,0.0,66.0,6.0,28.0,0.0,0.0,0.0,66.667,6.061,27.273,0.0,0.0,0.0,65.0,5.0,30.0,0.0,0.0,0.0,67.0,6.0,27.0,0.0,0.0,0.0,68.687,6.061,25.253,0.0,0.0,0.0,67.347,6.122,26.531,0.0,0.0,0.0,69.697,5.051,25.253,0.0,0.0,0.0,67.677,5.051,27.273,0.0,0.0,0.0,68.0,5.0,27.0,0.0,0.0,0.0,67.677,5.051,27.273,0.0,0.0,0.0,69.697,5.051,25.253,0.0,0.0,0.0,66.667,5.051,28.283,0.0,0.0,0.0,66.0,5.0,29.0,0.0,0.0,0.0,66.667,5.051,28.283,0.0,0.0,0.0,62.626,6.061,31.313,0.0,0.0,0.0,63.636,5.051,31.313,0.0,0.0,0.0,61.0,6.0,33.0,0.0,0.0,0.0,64.0,6.0,30.0,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,1252851712.0,51232768.0,146755584.0,66207784960.0,12.010,10.360,7.270
