"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output cg.B.x_2_compute-641-12_NTHREADS_44.csv",,,,"Date:","24 Feb 2016 07:01:58 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"cpu24 usage",,,,,,"cpu25 usage",,,,,,"cpu26 usage",,,,,,"cpu27 usage",,,,,,"cpu28 usage",,,,,,"cpu29 usage",,,,,,"cpu30 usage",,,,,,"cpu31 usage",,,,,,"net/eth0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","1m","5m","15m"
24-02 07:01:58,0.000,0.0,0.647,943493120.0,49545216.0,141651968.0,66523934720.0,56.452,398.807,269.401,18902.324,16018.684,14921.997,52.193,6.587,41.127,0.093,0.0,0.001,37.436,5.121,57.414,0.029,0.0,0.000,37.613,5.010,57.350,0.023,0.0,0.004,39.552,5.179,55.242,0.021,0.0,0.005,42.096,5.637,52.243,0.019,0.0,0.005,41.949,5.595,52.431,0.020,0.0,0.005,44.130,6.035,49.812,0.019,0.0,0.003,42.647,5.722,51.611,0.018,0.0,0.001,45.046,4.680,50.007,0.267,0.0,0.001,42.950,4.453,52.391,0.205,0.0,0.001,44.013,4.448,51.398,0.141,0.0,0.001,43.322,4.424,52.149,0.105,0.0,0.000,48.698,4.823,45.995,0.480,0.000,0.002,44.865,4.506,50.556,0.073,0.0,0.000,45.496,4.554,49.889,0.061,0.0,0.000,44.992,4.525,50.429,0.053,0.0,0.000,62.990,9.752,27.229,0.028,0.0,0.001,58.019,12.683,29.279,0.015,0.000,0.005,59.739,12.446,27.796,0.018,0.000,0.002,59.322,12.033,28.624,0.016,0.000,0.005,61.145,11.283,27.554,0.015,0.000,0.003,59.487,11.726,28.772,0.015,0.0,0.000,60.324,11.180,28.481,0.014,0.0,0.000,59.465,11.577,28.944,0.014,0.0,0.000,57.810,10.459,31.675,0.051,0.000,0.006,58.234,10.479,31.201,0.046,0.000,0.040,58.105,10.364,31.471,0.045,0.000,0.015,58.671,10.312,30.942,0.045,0.000,0.030,58.777,9.424,31.711,0.073,0.0,0.015,58.188,9.860,31.905,0.039,0.0,0.008,57.848,9.815,32.283,0.039,0.0,0.014,57.832,9.890,32.235,0.036,0.0,0.006,0.0,0.0,943493120.0,49545216.0,141651968.0,66523934720.0,17.160,7.250,5.790
24-02 07:01:59,44.0,0.0,0.0,1289584640.0,49545216.0,141651968.0,66177843200.0,0.0,0.0,0.0,0.0,32271.0,1917039.0,70.0,30.0,0.0,0.0,0.0,0.0,64.0,32.0,4.0,0.0,0.0,0.0,65.0,32.0,3.0,0.0,0.0,0.0,66.667,28.283,5.051,0.0,0.0,0.0,68.0,29.0,3.0,0.0,0.0,0.0,73.267,25.743,0.990,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,63.366,32.673,3.960,0.0,0.0,0.0,65.657,33.333,1.010,0.0,0.0,0.0,61.616,35.354,3.030,0.0,0.0,0.0,64.646,32.323,3.030,0.0,0.0,0.0,67.0,30.0,3.0,0.0,0.0,0.0,62.0,35.0,3.0,0.0,0.0,0.0,63.0,34.0,3.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,63.366,36.634,0.0,0.0,0.0,0.0,65.0,32.0,3.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,71.717,25.253,3.030,0.0,0.0,0.0,65.347,32.673,1.980,0.0,0.0,0.0,60.0,37.0,3.0,0.0,0.0,0.0,63.366,34.653,1.980,0.0,0.0,0.0,71.0,26.0,3.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,76.768,23.232,0.0,0.0,0.0,0.0,63.265,31.633,5.102,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,61.0,29.0,10.0,0.0,0.0,0.0,70.0,27.0,3.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,61.386,38.614,0.0,0.0,0.0,0.0,73.737,26.263,0.0,0.0,0.0,0.0,0.0,0.0,1289584640.0,49545216.0,141651968.0,66177843200.0,17.160,7.250,5.790
24-02 07:02:00,44.0,0.0,0.0,1289437184.0,49545216.0,141664256.0,66177978368.0,0.0,0.0,0.0,0.0,32912.0,3280709.0,52.0,48.0,0.0,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,55.0,44.0,1.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,52.475,47.525,0.0,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,54.545,44.444,1.010,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,59.406,40.594,0.0,0.0,0.0,0.0,52.0,47.0,1.0,0.0,0.0,0.0,49.495,49.495,1.010,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,62.376,37.624,0.0,0.0,0.0,0.0,51.515,48.485,0.0,0.0,0.0,0.0,46.0,53.0,1.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,56.566,43.434,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,60.784,38.235,0.980,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,46.535,52.475,0.990,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,46.0,54.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,46.535,52.475,0.990,0.0,0.0,0.0,4252.0,30226.0,1289437184.0,49545216.0,141664256.0,66177978368.0,17.160,7.250,5.790
24-02 07:02:01,44.0,0.0,0.0,1289310208.0,49545216.0,141664256.0,66178105344.0,0.0,0.0,0.0,0.0,32891.0,2642335.0,63.0,37.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,64.0,35.0,1.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,72.549,26.471,0.980,0.0,0.0,0.0,63.366,35.644,0.990,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,59.406,39.604,0.990,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,69.307,29.703,0.990,0.0,0.0,0.0,68.0,31.0,1.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,66.0,33.0,1.0,0.0,0.0,0.0,62.0,37.0,1.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,63.0,35.0,2.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,62.376,37.624,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,66.337,33.663,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,73.737,26.263,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,0.0,0.0,1289310208.0,49545216.0,141664256.0,66178105344.0,17.160,7.250,5.790
24-02 07:02:02,45.0,0.0,0.0,1288294400.0,49545216.0,141664256.0,66179121152.0,0.0,0.0,0.0,0.0,32912.0,3426318.0,54.0,45.0,1.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,53.0,46.0,1.0,0.0,0.0,0.0,52.475,47.525,0.0,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,55.446,43.564,0.990,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,52.525,47.475,0.0,0.0,0.0,0.0,44.0,56.0,0.0,0.0,0.0,0.0,59.0,40.0,1.0,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,50.495,48.515,0.990,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,59.0,40.0,1.0,0.0,0.0,0.0,57.426,41.584,0.990,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,48.515,50.495,0.990,0.0,0.0,0.0,48.0,51.0,1.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,51.515,48.485,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,65.347,34.653,0.0,0.0,0.0,0.0,49.0,50.0,1.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,180.0,0.0,1288294400.0,49545216.0,141664256.0,66179121152.0,17.160,7.250,5.790
24-02 07:02:03,44.0,0.0,0.0,1287921664.0,49545216.0,141664256.0,66179493888.0,0.0,0.0,0.0,0.0,32954.0,2599887.0,65.0,35.0,0.0,0.0,0.0,0.0,65.347,34.653,0.0,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,67.0,32.0,1.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,63.366,36.634,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,77.228,21.782,0.990,0.0,0.0,0.0,61.386,38.614,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,63.366,36.634,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,63.366,36.634,0.0,0.0,0.0,0.0,59.596,40.404,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,65.657,34.343,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1287921664.0,49545216.0,141664256.0,66179493888.0,19.310,7.860,5.990
24-02 07:02:04,44.0,0.0,0.0,1287757824.0,49545216.0,141668352.0,66179653632.0,0.0,0.0,0.0,16384.0,32962.0,3494681.0,70.707,29.293,0.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,53.465,46.535,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,52.525,47.475,0.0,0.0,0.0,0.0,56.566,43.434,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,55.556,44.444,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,56.566,43.434,0.0,0.0,0.0,0.0,62.626,37.374,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,49.495,50.505,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,50.495,48.515,0.990,0.0,0.0,0.0,49.0,51.0,0.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,51.485,47.525,0.990,0.0,0.0,0.0,770.0,0.0,1287757824.0,49545216.0,141668352.0,66179653632.0,19.310,7.860,5.990
24-02 07:02:05,44.0,0.0,0.0,1286725632.0,49545216.0,141668352.0,66180685824.0,0.0,0.0,0.0,0.0,32844.0,3083179.0,62.376,36.634,0.990,0.0,0.0,0.0,64.0,35.0,1.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,58.0,41.0,1.0,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,69.307,29.703,0.990,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,60.396,38.614,0.990,0.0,0.0,0.0,57.426,42.574,0.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,59.596,39.394,1.010,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,57.576,42.424,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,63.366,35.644,0.990,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,55.446,42.574,1.980,0.0,0.0,0.0,59.406,40.594,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,65.657,34.343,0.0,0.0,0.0,0.0,0.0,0.0,1286725632.0,49545216.0,141668352.0,66180685824.0,19.310,7.860,5.990
24-02 07:02:06,44.0,0.0,0.0,1286471680.0,49545216.0,141668352.0,66180939776.0,0.0,0.0,0.0,0.0,32937.0,3037487.0,60.0,40.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,55.446,43.564,0.990,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,55.446,43.564,0.990,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,57.576,42.424,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,56.436,42.574,0.990,0.0,0.0,0.0,55.102,44.898,0.0,0.0,0.0,0.0,63.366,35.644,0.990,0.0,0.0,0.0,57.426,41.584,0.990,0.0,0.0,0.0,59.406,39.604,0.990,0.0,0.0,0.0,54.0,45.0,1.0,0.0,0.0,0.0,61.386,37.624,0.990,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,66.337,32.673,0.990,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,62.626,37.374,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,58.586,41.414,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,770.0,0.0,1286471680.0,49545216.0,141668352.0,66180939776.0,19.310,7.860,5.990
24-02 07:02:07,44.0,0.0,1.0,1286340608.0,49545216.0,141672448.0,66181066752.0,0.0,0.0,0.0,0.0,32643.0,2229596.0,64.0,35.0,1.0,0.0,0.0,0.0,65.657,33.333,1.010,0.0,0.0,0.0,49.495,31.313,19.192,0.0,0.0,0.0,66.0,33.0,1.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,62.0,37.0,1.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,72.0,26.0,2.0,0.0,0.0,0.0,62.376,37.624,0.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,58.824,39.216,1.961,0.0,0.0,0.0,63.636,35.354,1.010,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,64.646,34.343,1.010,0.0,0.0,0.0,58.0,41.0,1.0,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,64.0,35.0,1.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,65.347,33.663,0.990,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,78.218,21.782,0.0,0.0,0.0,0.0,76.238,23.762,0.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,80.0,19.0,1.0,0.0,0.0,0.0,76.768,23.232,0.0,0.0,0.0,0.0,0.0,0.0,1286340608.0,49545216.0,141672448.0,66181066752.0,19.310,7.860,5.990
