"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-2.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output cg.C.x_1_compute-652-2_NTHREADS_44.csv",,,,"Date:","25 Feb 2016 00:15:12 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"cpu24 usage",,,,,,"cpu25 usage",,,,,,"cpu26 usage",,,,,,"cpu27 usage",,,,,,"cpu28 usage",,,,,,"cpu29 usage",,,,,,"cpu30 usage",,,,,,"cpu31 usage",,,,,,"cpu32 usage",,,,,,"cpu33 usage",,,,,,"cpu34 usage",,,,,,"cpu35 usage",,,,,,"cpu36 usage",,,,,,"cpu37 usage",,,,,,"cpu38 usage",,,,,,"cpu39 usage",,,,,,"net/eth1",,"net/mic0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","used","buff","cach","free","1m","5m","15m"
25-02 00:15:12,0.0,0.000,0.160,1015898112.0,271396864.0,792440832.0,65576198144.0,0.0,0.0,448.450,11679.930,6281.764,4184.649,12.003,3.385,84.511,0.100,0.0,0.000,11.047,2.706,86.233,0.014,0.0,0.000,10.655,2.604,86.729,0.011,0.0,0.000,10.489,2.736,86.764,0.010,0.0,0.001,9.144,2.772,88.075,0.008,0.0,0.001,9.572,2.736,87.682,0.009,0.0,0.001,9.915,2.731,87.343,0.010,0.0,0.000,8.428,2.674,88.892,0.007,0.0,0.000,6.312,2.561,91.121,0.005,0.0,0.001,5.802,2.460,91.733,0.004,0.0,0.000,11.113,2.704,86.148,0.034,0.0,0.000,10.166,2.727,87.084,0.023,0.0,0.001,11.476,2.683,85.821,0.020,0.0,0.000,9.949,2.562,87.473,0.016,0.0,0.000,9.370,2.451,88.162,0.017,0.0,0.001,7.634,2.313,90.038,0.014,0.0,0.001,8.048,2.161,89.774,0.016,0.0,0.001,6.774,1.962,91.248,0.014,0.0,0.001,4.704,1.736,92.944,0.614,0.0,0.001,4.115,1.514,94.358,0.012,0.0,0.001,10.522,2.483,86.973,0.017,0.0,0.005,9.573,2.165,88.247,0.014,0.0,0.001,10.181,2.149,87.655,0.012,0.0,0.002,9.910,1.848,88.233,0.009,0.0,0.001,10.918,1.678,87.392,0.011,0.0,0.001,9.746,1.511,88.732,0.010,0.0,0.000,9.240,1.454,89.297,0.009,0.0,0.000,10.623,1.431,87.932,0.013,0.0,0.000,5.917,1.466,92.612,0.004,0.0,0.000,5.725,1.491,92.782,0.002,0.0,0.000,11.360,0.956,87.667,0.016,0.0,0.001,14.329,0.889,84.768,0.013,0.0,0.001,8.016,0.749,91.225,0.010,0.0,0.001,8.749,0.708,90.533,0.009,0.0,0.001,8.928,0.721,90.341,0.008,0.0,0.002,9.995,0.703,89.289,0.011,0.0,0.002,9.669,0.718,89.603,0.009,0.0,0.001,10.392,0.727,88.870,0.010,0.0,0.001,5.091,0.843,94.041,0.024,0.0,0.001,6.052,0.871,93.073,0.004,0.0,0.000,0.0,0.0,0.0,0.0,1015898112.0,271396864.0,792440832.0,65576198144.0,24.180,11.270,7.090
25-02 00:15:13,44.0,0.0,45.0,1979154432.0,271396864.0,792453120.0,64612929536.0,0.0,0.0,0.0,20480.0,36981.0,182203.0,81.818,7.071,11.111,0.0,0.0,0.0,71.0,16.0,13.0,0.0,0.0,0.0,78.218,7.921,13.861,0.0,0.0,0.0,70.707,15.152,14.141,0.0,0.0,0.0,71.0,14.0,15.0,0.0,0.0,0.0,65.0,19.0,16.0,0.0,0.0,0.0,68.687,17.172,14.141,0.0,0.0,0.0,68.317,15.842,15.842,0.0,0.0,0.0,66.0,17.0,17.0,0.0,0.0,0.0,66.0,19.0,15.0,0.0,0.0,0.0,73.0,13.0,12.0,2.0,0.0,0.0,69.307,16.832,3.960,9.901,0.0,0.0,78.0,8.0,14.0,0.0,0.0,0.0,82.0,7.0,11.0,0.0,0.0,0.0,66.0,20.0,14.0,0.0,0.0,0.0,66.337,20.792,12.871,0.0,0.0,0.0,66.667,19.192,14.141,0.0,0.0,0.0,67.677,18.182,14.141,0.0,0.0,0.0,71.0,14.0,12.0,3.0,0.0,0.0,72.277,13.861,13.861,0.0,0.0,0.0,68.0,18.0,14.0,0.0,0.0,0.0,71.717,14.141,14.141,0.0,0.0,0.0,83.168,4.950,11.881,0.0,0.0,0.0,72.0,14.0,14.0,0.0,0.0,0.0,67.0,18.0,15.0,0.0,0.0,0.0,67.0,19.0,14.0,0.0,0.0,0.0,67.0,18.0,15.0,0.0,0.0,0.0,68.0,18.0,14.0,0.0,0.0,0.0,66.0,19.0,15.0,0.0,0.0,0.0,65.657,17.172,17.172,0.0,0.0,0.0,72.727,13.131,14.141,0.0,0.0,0.0,67.327,18.812,13.861,0.0,0.0,0.0,69.0,17.0,14.0,0.0,0.0,0.0,68.0,20.0,12.0,0.0,0.0,0.0,67.0,19.0,14.0,0.0,0.0,0.0,66.0,19.0,15.0,0.0,0.0,0.0,66.667,18.182,15.152,0.0,0.0,0.0,65.0,20.0,15.0,0.0,0.0,0.0,76.0,10.0,14.0,0.0,0.0,0.0,68.0,21.0,11.0,0.0,0.0,0.0,2754.0,51714.0,0.0,0.0,1979027456.0,271396864.0,792453120.0,64613056512.0,24.180,11.270,7.090
25-02 00:15:14,44.0,0.0,0.0,1978392576.0,271396864.0,792453120.0,64613691392.0,0.0,0.0,0.0,0.0,40908.0,418994.0,70.297,28.713,0.990,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,67.327,31.683,0.990,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,68.0,31.0,1.0,0.0,0.0,0.0,61.386,37.624,0.990,0.0,0.0,0.0,69.0,30.0,1.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,71.287,28.713,0.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,62.376,36.634,0.990,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,66.337,32.673,0.990,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978400768.0,271396864.0,792453120.0,64613683200.0,25.770,11.820,7.290
25-02 00:15:15,44.0,0.0,0.0,1978273792.0,271396864.0,792453120.0,64613810176.0,0.0,0.0,0.0,0.0,40957.0,401104.0,69.697,30.303,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,71.287,27.723,0.990,0.0,0.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,69.307,29.703,0.990,0.0,0.0,0.0,75.248,23.762,0.990,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,71.0,28.0,1.0,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,0.0,78.0,21.0,1.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,73.737,26.263,0.0,0.0,0.0,0.0,73.737,26.263,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,70.707,29.293,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,69.307,30.693,0.0,0.0,0.0,0.0,70.297,29.703,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,73.737,26.263,0.0,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,69.307,29.703,0.990,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,69.307,30.693,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,1794.0,1902.0,0.0,0.0,1978273792.0,271396864.0,792453120.0,64613810176.0,25.770,11.820,7.290
25-02 00:15:16,44.0,0.0,0.0,1977757696.0,271396864.0,792457216.0,64614322176.0,0.0,0.0,0.0,0.0,40932.0,600047.0,59.0,41.0,0.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,63.366,35.644,0.990,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,68.317,31.683,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,65.347,34.653,0.0,0.0,0.0,0.0,62.376,36.634,0.990,0.0,0.0,0.0,55.0,44.0,1.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,56.436,43.564,0.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,59.406,39.604,0.990,0.0,0.0,0.0,62.626,37.374,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,66.337,32.673,0.990,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,58.586,41.414,0.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977630720.0,271396864.0,792457216.0,64614449152.0,25.770,11.820,7.290
25-02 00:15:17,44.0,0.0,0.0,1977122816.0,271396864.0,792457216.0,64614957056.0,0.0,0.0,0.0,0.0,40890.0,417905.0,74.0,26.0,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,70.707,28.283,1.010,0.0,0.0,0.0,70.297,28.713,0.990,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,70.297,28.713,0.990,0.0,0.0,0.0,70.707,29.293,0.0,0.0,0.0,0.0,77.0,22.0,1.0,0.0,0.0,0.0,76.768,23.232,0.0,0.0,0.0,0.0,69.307,29.703,0.990,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,71.0,28.0,1.0,0.0,0.0,0.0,70.0,29.0,1.0,0.0,0.0,0.0,67.0,32.0,1.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,70.297,28.713,0.990,0.0,0.0,0.0,71.287,27.723,0.990,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,71.287,27.723,0.990,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,71.287,27.723,0.990,0.0,0.0,0.0,70.297,29.703,0.0,0.0,0.0,0.0,72.0,27.0,1.0,0.0,0.0,0.0,68.317,30.693,0.990,0.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,0.0,70.297,28.713,0.990,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,1977122816.0,271396864.0,792457216.0,64614957056.0,25.770,11.820,7.290
25-02 00:15:18,44.0,0.0,0.0,1976852480.0,271396864.0,792457216.0,64615227392.0,0.0,0.0,0.0,16384.0,40907.0,589223.0,65.0,35.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,67.327,31.683,0.990,0.0,0.0,0.0,57.426,41.584,0.990,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,59.406,39.604,0.990,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,58.586,41.414,0.0,0.0,0.0,0.0,59.406,39.604,0.990,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,59.596,40.404,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,64.0,35.0,1.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,63.366,35.644,0.990,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,62.626,37.374,0.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,64.356,35.644,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976852480.0,271396864.0,792457216.0,64615227392.0,25.770,11.820,7.290
25-02 00:15:19,44.0,0.0,0.0,1976340480.0,271396864.0,792461312.0,64615735296.0,0.0,0.0,0.0,0.0,41010.0,389653.0,73.0,27.0,0.0,0.0,0.0,0.0,71.287,28.713,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,72.277,27.723,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,71.287,28.713,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,81.0,19.0,0.0,0.0,0.0,0.0,77.228,21.782,0.990,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,72.277,27.723,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,72.277,27.723,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,69.307,29.703,0.0,0.0,0.0,0.990,70.297,28.713,0.990,0.0,0.0,0.0,70.297,29.703,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,69.307,30.693,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,74.747,25.253,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976213504.0,271396864.0,792461312.0,64615862272.0,27.230,12.350,7.480
25-02 00:15:20,44.0,0.0,0.0,1975672832.0,271396864.0,792461312.0,64616402944.0,0.0,0.0,0.0,0.0,40872.0,698966.0,65.0,34.0,1.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,60.396,37.624,1.980,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,56.436,41.584,1.980,0.0,0.0,0.0,57.426,41.584,0.990,0.0,0.0,0.0,57.576,42.424,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,62.0,37.0,1.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,61.386,37.624,0.990,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,65.347,33.663,0.990,0.0,0.0,0.0,56.0,43.0,1.0,0.0,0.0,0.0,59.0,40.0,1.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,57.426,41.584,0.990,0.0,0.0,0.0,59.596,40.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975672832.0,271396864.0,792461312.0,64616402944.0,27.230,12.350,7.480
25-02 00:15:21,44.0,0.0,0.0,1975418880.0,271396864.0,792461312.0,64616656896.0,0.0,0.0,0.0,0.0,40964.0,429110.0,74.0,26.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,69.307,30.693,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,71.569,27.451,0.980,0.0,0.0,0.0,68.317,30.693,0.990,0.0,0.0,0.0,70.707,29.293,0.0,0.0,0.0,0.0,69.307,29.703,0.990,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,64.706,34.314,0.980,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,73.267,26.733,0.0,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,1975418880.0,271396864.0,792461312.0,64616656896.0,27.230,12.350,7.480
