"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-2.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output cg.C.x_2_compute-652-2_NTHREADS_52.csv",,,,"Date:","24 Feb 2016 23:25:59 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"cpu24 usage",,,,,,"cpu25 usage",,,,,,"cpu26 usage",,,,,,"cpu27 usage",,,,,,"cpu28 usage",,,,,,"cpu29 usage",,,,,,"cpu30 usage",,,,,,"cpu31 usage",,,,,,"cpu32 usage",,,,,,"cpu33 usage",,,,,,"cpu34 usage",,,,,,"cpu35 usage",,,,,,"cpu36 usage",,,,,,"cpu37 usage",,,,,,"cpu38 usage",,,,,,"cpu39 usage",,,,,,"net/eth1",,"net/mic0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","used","buff","cach","free","1m","5m","15m"
24-02 23:25:59,0.0,0.000,0.157,1010745344.0,271392768.0,786251776.0,65587544064.0,0.0,0.0,449.312,11698.358,6279.767,4040.172,11.990,3.388,84.521,0.100,0.0,0.000,11.051,2.709,86.226,0.014,0.0,0.000,10.657,2.607,86.724,0.011,0.0,0.000,10.486,2.740,86.764,0.010,0.0,0.001,9.145,2.775,88.071,0.008,0.0,0.001,9.571,2.739,87.680,0.009,0.0,0.001,9.918,2.734,87.337,0.010,0.0,0.000,8.428,2.677,88.889,0.007,0.0,0.000,6.307,2.564,91.124,0.005,0.0,0.001,5.789,2.462,91.744,0.004,0.0,0.000,11.115,2.707,86.143,0.034,0.0,0.000,10.169,2.730,87.077,0.023,0.0,0.001,11.475,2.686,85.819,0.020,0.0,0.000,9.951,2.565,87.468,0.016,0.0,0.000,9.371,2.453,88.159,0.017,0.0,0.001,7.629,2.316,90.041,0.014,0.0,0.001,8.046,2.162,89.775,0.016,0.0,0.001,6.770,1.964,91.251,0.015,0.0,0.001,4.695,1.738,92.953,0.613,0.0,0.001,4.110,1.514,94.363,0.012,0.0,0.001,10.531,2.485,86.962,0.017,0.0,0.005,9.563,2.167,88.254,0.014,0.0,0.001,10.162,2.151,87.672,0.012,0.0,0.002,9.901,1.849,88.240,0.009,0.0,0.001,10.912,1.679,87.397,0.011,0.0,0.001,9.745,1.512,88.733,0.011,0.0,0.000,9.241,1.454,89.295,0.009,0.0,0.000,10.631,1.432,87.923,0.013,0.0,0.000,5.917,1.466,92.612,0.004,0.0,0.000,5.724,1.491,92.783,0.002,0.0,0.000,11.342,0.955,87.686,0.016,0.0,0.001,14.327,0.889,84.770,0.013,0.0,0.001,8.005,0.748,91.236,0.010,0.0,0.001,8.745,0.707,90.539,0.009,0.0,0.001,8.929,0.720,90.341,0.008,0.0,0.002,10.000,0.702,89.285,0.011,0.0,0.002,9.671,0.717,89.602,0.009,0.0,0.001,10.399,0.726,88.865,0.010,0.0,0.001,5.088,0.842,94.045,0.024,0.0,0.001,5.940,0.869,93.187,0.004,0.0,0.000,0.0,0.0,0.0,0.0,1010745344.0,271392768.0,786251776.0,65587544064.0,29.640,14.350,8.210
24-02 23:26:00,39.0,0.0,53.0,1571643392.0,271392768.0,786268160.0,65026629632.0,0.0,0.0,0.0,28672.0,37021.0,606514.0,67.327,21.782,10.891,0.0,0.0,0.0,72.0,17.0,11.0,0.0,0.0,0.0,77.228,11.881,10.891,0.0,0.0,0.0,77.778,11.111,11.111,0.0,0.0,0.0,68.627,19.608,11.765,0.0,0.0,0.0,67.677,21.212,11.111,0.0,0.0,0.0,66.0,10.0,24.0,0.0,0.0,0.0,69.697,6.061,24.242,0.0,0.0,0.0,75.758,13.131,11.111,0.0,0.0,0.0,69.388,6.122,24.490,0.0,0.0,0.0,77.0,12.0,16.0,-5.0,0.0,0.0,76.0,12.0,12.0,0.0,0.0,0.0,71.0,18.0,11.0,0.0,0.0,0.0,67.0,19.0,14.0,0.0,0.0,0.0,65.0,11.0,24.0,0.0,0.0,0.0,72.277,14.851,12.871,0.0,0.0,0.0,74.0,14.0,12.0,0.0,0.0,0.0,60.0,23.0,17.0,0.0,0.0,0.0,64.0,15.0,9.0,12.0,0.0,0.0,66.0,22.0,12.0,0.0,0.0,0.0,71.0,16.0,13.0,0.0,0.0,0.0,70.707,7.071,22.222,0.0,0.0,0.0,66.0,11.0,23.0,0.0,0.0,0.0,66.0,11.0,23.0,0.0,0.0,0.0,71.0,18.0,11.0,0.0,0.0,0.0,61.0,17.0,22.0,0.0,0.0,0.0,67.677,20.202,12.121,0.0,0.0,0.0,73.267,13.861,12.871,0.0,0.0,0.0,68.687,18.182,13.131,0.0,0.0,0.0,63.366,14.851,21.782,0.0,0.0,0.0,67.0,11.0,22.0,0.0,0.0,0.0,66.337,10.891,22.772,0.0,0.0,0.0,71.0,18.0,11.0,0.0,0.0,0.0,63.0,16.0,21.0,0.0,0.0,0.0,60.606,6.061,33.333,0.0,0.0,0.0,76.768,11.111,12.121,0.0,0.0,0.0,68.0,20.0,12.0,0.0,0.0,0.0,59.596,19.192,21.212,0.0,0.0,0.0,59.406,18.812,21.782,0.0,0.0,0.0,77.778,11.111,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571643392.0,271392768.0,786268160.0,65026629632.0,29.640,14.350,8.210
24-02 23:26:01,52.0,0.0,0.0,2011217920.0,271392768.0,786268160.0,64587055104.0,0.0,0.0,0.0,0.0,39814.0,3312701.0,53.535,45.455,1.010,0.0,0.0,0.0,55.0,44.0,1.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,64.356,35.644,0.0,0.0,0.0,0.0,59.596,39.394,1.010,0.0,0.0,0.0,55.0,44.0,1.0,0.0,0.0,0.0,54.0,45.0,1.0,0.0,0.0,0.0,49.505,48.515,1.980,0.0,0.0,0.0,50.0,48.0,2.0,0.0,0.0,0.0,56.436,41.584,1.980,0.0,0.0,0.0,60.606,38.384,1.010,0.0,0.0,0.0,49.505,49.505,0.990,0.0,0.0,0.0,46.0,52.0,2.0,0.0,0.0,0.0,55.0,43.0,2.0,0.0,0.0,0.0,56.0,42.0,2.0,0.0,0.0,0.0,64.0,35.0,1.0,0.0,0.0,0.0,56.436,41.584,1.980,0.0,0.0,0.0,55.0,44.0,1.0,0.0,0.0,0.0,46.0,41.0,13.0,0.0,0.0,0.0,55.446,42.574,1.980,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,55.0,43.0,2.0,0.0,0.0,0.0,49.495,49.495,1.010,0.0,0.0,0.0,48.485,50.505,1.010,0.0,0.0,0.0,65.0,33.0,2.0,0.0,0.0,0.0,45.0,43.0,12.0,0.0,0.0,0.0,46.0,53.0,1.0,0.0,0.0,0.0,51.515,47.475,1.010,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,48.0,49.0,3.0,0.0,0.0,0.0,51.0,47.0,2.0,0.0,0.0,0.0,55.0,43.0,2.0,0.0,0.0,0.0,45.545,52.475,1.980,0.0,0.0,0.0,46.465,41.414,12.121,0.0,0.0,0.0,42.574,44.554,12.871,0.0,0.0,0.0,53.0,46.0,1.0,0.0,0.0,0.0,48.0,51.0,1.0,0.0,0.0,0.0,49.505,37.624,12.871,0.0,0.0,0.0,46.0,42.0,12.0,0.0,0.0,0.0,63.0,35.0,2.0,0.0,0.0,0.0,4136.0,10132.0,0.0,0.0,2011217920.0,271392768.0,786268160.0,64587055104.0,29.640,14.350,8.210
24-02 23:26:02,52.0,0.0,0.0,2011410432.0,271392768.0,786268160.0,64586862592.0,0.0,0.0,0.0,0.0,40945.0,2523449.0,64.646,35.354,0.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,72.727,27.273,0.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,67.327,31.683,0.990,0.0,0.0,0.0,71.0,28.0,1.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,66.337,33.663,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,70.707,29.293,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,69.0,30.0,1.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,68.0,31.0,1.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,71.287,27.723,0.990,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,74.0,25.0,1.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,62.376,36.634,0.990,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,65.657,34.343,0.0,0.0,0.0,0.0,66.337,33.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011410432.0,271392768.0,786268160.0,64586862592.0,29.640,14.350,8.210
24-02 23:26:03,52.0,0.0,0.0,2010136576.0,271392768.0,786272256.0,64588132352.0,0.0,0.0,0.0,0.0,40821.0,3375134.0,55.446,43.564,0.990,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,60.396,38.614,0.990,0.0,0.0,0.0,58.416,40.594,0.990,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,55.556,44.444,0.0,0.0,0.0,0.0,70.707,29.293,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,52.475,46.535,0.990,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,55.446,43.564,0.990,0.0,0.0,0.0,58.0,41.0,1.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,61.224,38.776,0.0,0.0,0.0,0.0,51.515,47.475,1.010,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,52.0,47.0,1.0,0.0,0.0,0.0,53.465,45.545,0.990,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,60.396,38.614,0.990,0.0,0.0,0.0,60.396,38.614,0.990,0.0,0.0,0.0,63.366,35.644,0.990,0.0,0.0,0.0,56.0,43.0,1.0,0.0,0.0,0.0,55.556,44.444,0.0,0.0,0.0,0.0,54.545,44.444,1.010,0.0,0.0,0.0,51.0,49.0,0.0,0.0,0.0,0.0,49.0,50.0,1.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,53.0,46.0,1.0,0.0,0.0,0.0,51.0,48.0,1.0,0.0,0.0,0.0,48.0,51.0,1.0,0.0,0.0,0.0,49.0,50.0,1.0,0.0,0.0,0.0,56.0,43.0,1.0,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,47.0,52.0,1.0,0.0,0.0,0.0,47.475,51.515,1.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010136576.0,271392768.0,786272256.0,64588132352.0,29.640,14.350,8.210
24-02 23:26:04,52.0,0.0,0.0,2010009600.0,271392768.0,786272256.0,64588259328.0,0.0,0.0,0.0,0.0,40913.0,2672682.0,67.677,32.323,0.0,0.0,0.0,0.0,67.327,31.683,0.990,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,72.277,27.723,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,74.0,25.0,1.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,77.228,22.772,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,64.356,35.644,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,73.0,27.0,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,62.0,24.0,14.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,66.337,32.673,0.990,0.0,0.0,0.0,67.327,32.673,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,63.725,35.294,0.980,0.0,0.0,0.0,62.626,37.374,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,70.0,29.0,1.0,0.0,0.0,0.0,59.406,40.594,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010009600.0,271392768.0,786272256.0,64588259328.0,31.350,14.960,8.440
24-02 23:26:05,53.0,0.0,0.0,2009890816.0,271392768.0,786272256.0,64588378112.0,0.0,0.0,0.0,20480.0,40854.0,3279319.0,56.863,42.157,0.980,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,50.505,49.495,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,59.804,39.216,0.980,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,52.0,47.0,1.0,0.0,0.0,0.0,55.446,43.564,0.990,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,56.0,43.0,1.0,0.0,0.0,0.0,61.386,37.624,0.990,0.0,0.0,0.0,57.0,42.0,1.0,0.0,0.0,0.0,52.475,46.535,0.990,0.0,0.0,0.0,56.566,43.434,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,62.376,36.634,0.990,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,48.485,51.515,0.0,0.0,0.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,0.0,0.0,55.446,43.564,0.990,0.0,0.0,0.0,55.0,44.0,1.0,0.0,0.0,0.0,50.0,49.0,1.0,0.0,0.0,0.0,48.515,50.495,0.990,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,53.535,46.465,0.0,0.0,0.0,0.0,61.386,38.614,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,0.0,62.0,37.0,1.0,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,54.0,45.0,1.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,56.566,43.434,0.0,0.0,0.0,0.0,58.416,40.594,0.990,0.0,0.0,0.0,68.0,454.0,0.0,0.0,2009890816.0,271392768.0,786272256.0,64588378112.0,31.350,14.960,8.440
24-02 23:26:06,52.0,0.0,0.0,2008616960.0,271392768.0,786276352.0,64589647872.0,0.0,0.0,0.0,0.0,40911.0,2422426.0,73.737,26.263,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,66.337,32.673,0.990,0.0,0.0,0.0,66.0,33.0,1.0,0.0,0.0,0.0,71.717,28.283,0.0,0.0,0.0,0.0,61.0,38.0,1.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,71.287,28.713,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,67.327,31.683,0.990,0.0,0.0,0.0,74.0,26.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,75.758,24.242,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,65.306,34.694,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,59.596,40.404,0.0,0.0,0.0,0.0,66.0,34.0,0.0,0.0,0.0,0.0,67.0,32.0,1.0,0.0,0.0,0.0,61.386,37.624,0.990,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,57.576,42.424,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,66.0,33.0,1.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,66.667,33.333,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0,64.356,35.644,0.0,0.0,0.0,0.0,70.297,29.703,0.0,0.0,0.0,0.0,67.0,33.0,0.0,0.0,0.0,0.0,64.0,34.0,2.0,0.0,0.0,0.0,73.737,26.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008616960.0,271392768.0,786276352.0,64589647872.0,31.350,14.960,8.440
24-02 23:26:07,52.0,0.0,0.0,2008473600.0,271392768.0,786276352.0,64589791232.0,0.0,0.0,0.0,0.0,40844.0,3710837.0,58.0,42.0,0.0,0.0,0.0,0.0,54.455,44.554,0.990,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,54.0,45.0,1.0,0.0,0.0,0.0,59.406,39.604,0.990,0.0,0.0,0.0,55.446,44.554,0.0,0.0,0.0,0.0,51.515,48.485,0.0,0.0,0.0,0.0,59.0,40.0,1.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,55.446,42.574,1.980,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,57.426,42.574,0.0,0.0,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,53.0,46.0,1.0,0.0,0.0,0.0,55.446,44.554,0.0,0.0,0.0,0.0,49.505,48.515,1.980,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,49.505,49.505,0.990,0.0,0.0,0.0,54.545,45.455,0.0,0.0,0.0,0.0,58.416,40.594,0.990,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,55.556,43.434,1.010,0.0,0.0,0.0,54.455,44.554,0.990,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,46.0,53.0,1.0,0.0,0.0,0.0,59.596,40.404,0.0,0.0,0.0,0.0,48.0,51.0,1.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,56.0,42.0,2.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,57.426,41.584,0.990,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,49.0,50.0,1.0,0.0,0.0,0.0,50.495,48.515,0.990,0.0,0.0,0.0,56.0,43.0,1.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,59.406,40.594,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,2008473600.0,271392768.0,786276352.0,64589791232.0,31.350,14.960,8.440
24-02 23:26:08,52.0,0.0,0.0,2008346624.0,271392768.0,786276352.0,64589918208.0,0.0,0.0,0.0,0.0,40860.0,2734162.0,65.0,35.0,0.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,64.356,34.653,0.990,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,70.0,29.0,1.0,0.0,0.0,0.0,68.687,31.313,0.0,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,65.0,34.0,1.0,0.0,0.0,0.0,60.606,39.394,0.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,63.636,36.364,0.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,67.677,32.323,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,59.0,40.0,1.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,64.646,35.354,0.0,0.0,0.0,0.0,61.616,38.384,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,55.556,44.444,0.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,0.0,58.416,40.594,0.990,0.0,0.0,0.0,68.0,32.0,0.0,0.0,0.0,0.0,61.386,37.624,0.990,0.0,0.0,0.0,69.697,30.303,0.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,57.0,42.0,1.0,0.0,0.0,0.0,59.0,40.0,1.0,0.0,0.0,0.0,54.0,46.0,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,68.0,31.0,1.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,62.0,37.0,1.0,0.0,0.0,0.0,70.707,29.293,0.0,0.0,0.0,0.0,63.0,36.0,1.0,0.0,0.0,0.0,60.0,39.0,1.0,0.0,0.0,0.0,62.626,37.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008346624.0,271392768.0,786276352.0,64589918208.0,31.350,14.960,8.440
