"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-10.local",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output cg.C.16_2_compute-431-10_MPI_ETH.csv",,,,"Date:","23 Feb 2016 21:14:45 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"net/eth0",,"memory usage",,,,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","1m","5m","15m"
23-02 21:14:45,0.000,0.0,7.203,630747136.0,4358144.0,78086144.0,45791567872.0,4717.662,6828.013,914236.716,1240387.129,2807.123,9914.128,12.702,3.833,82.134,1.202,0.000,0.130,23.729,3.522,72.449,0.300,0.0,0.000,19.838,3.604,76.304,0.251,0.0,0.002,16.864,3.526,79.400,0.209,0.0,0.002,14.637,3.277,81.926,0.158,0.0,0.002,13.762,3.344,82.745,0.148,0.0,0.002,13.825,4.513,79.468,2.113,0.000,0.082,14.076,4.523,80.978,0.419,0.000,0.003,14.747,4.607,80.369,0.275,0.0,0.002,14.283,4.076,81.447,0.192,0.0,0.002,13.898,4.001,81.923,0.176,0.0,0.002,13.094,4.005,82.733,0.166,0.0,0.001,29.876,2.919,66.896,0.306,0.0,0.003,17.711,2.588,79.460,0.238,0.000,0.003,23.575,2.616,73.597,0.208,0.000,0.003,26.302,2.631,70.921,0.145,0.000,0.002,28.323,2.812,68.720,0.142,0.000,0.004,29.342,2.750,67.776,0.133,0.0,0.000,28.538,3.076,67.934,0.450,0.000,0.002,27.248,2.742,69.810,0.198,0.000,0.002,28.863,2.861,68.120,0.154,0.000,0.002,28.602,2.814,68.441,0.141,0.000,0.002,28.596,2.817,68.454,0.132,0.000,0.001,28.565,2.751,68.546,0.137,0.000,0.001,0.0,0.0,630747136.0,4358144.0,78086144.0,45791567872.0,10.920,9.070,13.880
23-02 21:14:46,17.0,0.0,32.0,1956765696.0,4358144.0,87781376.0,44455854080.0,0.0,0.0,0.0,4096.0,22469.0,19114.0,64.0,9.0,27.0,0.0,0.0,0.0,67.0,14.0,19.0,0.0,0.0,0.0,11.0,10.0,79.0,0.0,0.0,0.0,70.707,14.141,15.152,0.0,0.0,0.0,69.0,12.0,19.0,0.0,0.0,0.0,68.687,11.111,20.202,0.0,0.0,0.0,57.0,10.0,33.0,0.0,0.0,0.0,6.061,40.404,53.535,0.0,0.0,0.0,68.0,12.0,20.0,0.0,0.0,0.0,12.121,8.081,78.788,0.0,0.0,1.010,64.356,12.871,22.772,0.0,0.0,0.0,66.0,11.0,23.0,0.0,0.0,0.0,66.337,14.851,18.812,0.0,0.0,0.0,67.0,13.0,20.0,0.0,0.0,0.0,69.0,12.0,19.0,0.0,0.0,0.0,70.0,15.0,13.0,0.0,0.0,2.0,12.121,7.071,80.808,0.0,0.0,0.0,10.891,8.911,80.198,0.0,0.0,0.0,57.0,4.0,38.0,0.0,0.0,1.0,57.0,3.0,40.0,0.0,0.0,0.0,1.0,2.0,97.0,0.0,0.0,0.0,57.0,4.0,39.0,0.0,0.0,0.0,0.990,60.396,38.614,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,423478.0,481129.0,1956765696.0,4358144.0,87781376.0,44455854080.0,10.920,9.070,13.880
23-02 21:14:47,17.0,0.0,0.0,1956970496.0,4358144.0,87957504.0,44455473152.0,0.0,0.0,0.0,0.0,19009.0,6071.0,23.232,0.0,76.768,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.495,0.0,49.505,0.0,0.0,0.0,36.634,0.0,63.366,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,63.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,37.0,0.0,0.0,0.0,77.778,0.0,22.222,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,13.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,1956970496.0,4358144.0,87957504.0,44455473152.0,11.410,9.200,13.900
23-02 21:14:48,19.0,0.0,0.0,1956978688.0,4358144.0,87957504.0,44455464960.0,0.0,0.0,0.0,0.0,19014.0,5612.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,89.109,0.0,10.891,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,90.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,96.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,1956974592.0,4358144.0,87961600.0,44455464960.0,11.410,9.200,13.900
23-02 21:14:49,18.0,0.0,0.0,1956745216.0,4358144.0,87961600.0,44455694336.0,0.0,0.0,0.0,0.0,18046.0,5382.0,98.990,0.0,1.010,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.020,2.020,95.960,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956745216.0,4358144.0,87961600.0,44455694336.0,11.410,9.200,13.900
23-02 21:14:50,19.0,1.0,0.0,1955885056.0,4366336.0,87953408.0,44456554496.0,0.0,0.0,0.0,57344.0,17988.0,5383.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,930.0,648.0,1955880960.0,4366336.0,87953408.0,44456558592.0,11.410,9.200,13.900
23-02 21:14:51,18.0,1.0,0.0,1955553280.0,4374528.0,87953408.0,44456878080.0,0.0,0.0,0.0,135168.0,18085.0,5594.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.772,0.0,76.238,0.0,0.0,0.990,77.0,0.0,23.0,0.0,0.0,0.0,0.0,0.980,93.137,5.882,0.0,0.0,35.644,0.0,64.356,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,35.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955553280.0,4374528.0,87953408.0,44456878080.0,11.410,9.200,13.900
23-02 21:14:52,17.0,0.0,0.0,1954435072.0,4374528.0,87961600.0,44457988096.0,0.0,0.0,0.0,4096.0,18286.0,5501.0,32.323,0.0,67.677,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,32.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,30.693,0.990,68.317,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,97.980,2.020,0.0,0.0,31.0,0.0,69.0,0.0,0.0,0.0,31.683,0.0,68.317,0.0,0.0,0.0,28.571,1.020,70.408,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,31.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,31.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,240.0,42.0,1954435072.0,4374528.0,87961600.0,44457988096.0,11.860,9.330,13.910
23-02 21:14:53,17.0,0.0,0.0,1953923072.0,4374528.0,87965696.0,44458496000.0,0.0,0.0,0.0,0.0,18029.0,5519.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953923072.0,4374528.0,87965696.0,44458496000.0,11.860,9.330,13.910
23-02 21:14:54,17.0,0.0,0.0,1953669120.0,4374528.0,87965696.0,44458749952.0,0.0,0.0,0.0,0.0,18431.0,5623.0,0.0,0.0,100.0,0.0,0.0,0.0,80.808,0.0,19.192,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,19.192,0.0,80.808,0.0,0.0,0.0,79.798,20.202,0.0,0.0,0.0,0.0,18.182,0.0,81.818,0.0,0.0,0.0,0.0,19.0,81.0,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,1953669120.0,4374528.0,87965696.0,44458749952.0,11.860,9.330,13.910
